id,new_lost_id,new_pet_id,new_user_id,new_device_id,"Seen_Date","Location_Addr","Location_Lng","Location_Lat",Proximity_Distance,"Create_Date"
177,177,1204,2136,1996,"2016-03-22 17:28:56","-","100.489640","13.808681",0,"2016-02-06 09:51:23"
178,178,3799,1804,2430,"2016-03-22 09:20:30","-","-98.865212","30.281773",0,"2016-03-07 09:08:56"
179,179,3834,2450,NULL,NULL,NULL,NULL,NULL,NULL,NULL
180,180,3841,2453,NULL,NULL,NULL,NULL,NULL,NULL,NULL
181,181,3807,951,2852,"2016-03-21 07:30:25","-","-70.5951728","-33.5621569",0,"2016-03-14 05:47:21"
182,182,3842,2455,2984,"2016-03-15 19:24:03","-","114.030786","22.438377",0,"2016-03-13 11:58:11"
183,183,3782,2405,2178,"2016-03-16 02:19:09","-","9.086538","45.810157",0,"2016-03-04 15:58:10"
184,184,3853,2467,NULL,NULL,NULL,NULL,NULL,NULL,NULL
185,185,3844,2459,2135,"2016-03-22 09:19:51","-","-73.297833","45.466406",0,"2016-03-14 01:42:24"
186,186,3448,2146,2950,"2016-03-22 17:40:10","-","-117.756242","34.108670",0,"2016-03-19 06:59:14"
187,187,3292,2032,2655,"2016-02-21 06:44:12","-","-104.221847","32.433053",0,"2016-02-02 08:44:40"
188,188,3477,2168,1842,"2016-02-09 23:13:25","-","-94.9096195","34.0975926",0,"2016-02-09 06:11:13"
189,189,3914,2513,NULL,NULL,NULL,NULL,NULL,NULL,NULL
